t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,M NA,log HSize,F NA
2021-22,Segou,557007,1,,,,1,,1,1,1,,,,1,,,1.791759469,
2021-22,Segou,557008,,,,,,1,,,1,,,,1,,,1.098612289,
2021-22,Segou,557009,,,,1,,,1,,,,,,,1,,1.098612289,
2021-22,Segou,557010,,,,,,1,1,,2,,,,1,,,1.609437912,
2021-22,Segou,557011,,,,,1,,,,1,,,,1,,,1.098612289,
2021-22,Segou,557012,,,,,,1,,1,2,1,,,1,,,1.791759469,
2021-22,Kayes,56001,,2,1,,,1,,,,,,,,1,,1.609437912,
2021-22,Kayes,56002,,,1,,1,,1,,,2,,,,,,1.609437912,
2021-22,Kayes,56003,,,,,1,,3,1,1,,,1,,1,,2.079441542,
2021-22,Kayes,56004,2,,2,,1,1,1,,1,,,,,1,,2.197224577,
2021-22,Kayes,56005,,,,,,1,,1,,1,1,,1,,,1.609437912,
2021-22,Kayes,56006,,1,,,1,,,,,,,,,,,0.6931471806,
2021-22,Kayes,56007,,5,,1,1,,,1,,,,,1,,,2.197224577,
2021-22,Kayes,56008,,,1,,,2,,,,1,1,1,,1,,1.945910149,
2021-22,Kayes,56009,1,2,1,1,2,1,1,2,1,,2,1,,1,,2.772588722,
2021-22,Kayes,56010,,1,,,2,1,,,1,1,,,,,,1.791759469,
2021-22,Kayes,56011,1,1,,,1,,,,,,,,1,,,1.386294361,
2021-22,Kayes,56012,1,,2,,,2,,,,1,2,,,,,2.079441542,
2021-22,Segou,561001,,,1,,,1,,,,2,,,1,,,1.609437912,
2021-22,Segou,561002,2,,1,,,1,,,1,,,,1,,,1.791759469,
2021-22,Segou,561003,,,,1,,,1,,,,,,,1,,1.098612289,
2021-22,Segou,561004,1,,,,1,,,,,,,1,,,,1.098612289,
2021-22,Segou,561005,,2,,,,1,,,,1,,,1,,,1.609437912,
2021-22,Segou,561006,1,,,,1,,,1,1,,,,1,,,1.609437912,
2021-22,Segou,561007,,1,1,,2,,1,1,3,1,,,2,1,,2.564949357,
2021-22,Segou,561008,1,2,1,,,2,,1,2,,,1,,1,,2.397895273,
2021-22,Segou,561009,,1,,,3,,1,2,5,,,1,2,,,2.708050201,
2021-22,Segou,561010,1,,,,2,2,,,1,1,2,,1,,,2.302585093,
2021-22,Segou,561011,,1,1,,,2,,,2,,,,1,,,1.945910149,
2021-22,Segou,561012,,1,2,1,,2,,,1,1,,,1,,,2.197224577,
2021-22,Segou,564001,,,1,,1,1,,,1,,1,,1,,,1.791759469,
2021-22,Segou,564002,,,1,,,,1,,1,,1,,,2,,1.791759469,
2021-22,Segou,564003,,1,,,1,,1,,,,,1,,1,,1.609437912,
2021-22,Segou,564004,1,,,1,,,,,,,,1,,,,1.098612289,
2021-22,Segou,564005,,,1,,,1,1,,,,2,,1,,,1.791759469,
2021-22,Segou,564006,,1,,,,2,1,,1,2,2,,1,1,,2.397895273,
2021-22,Segou,564007,,,,,,1,,,,1,,,,1,,1.098612289,
2021-22,Segou,564008,1,1,,,,2,,1,3,1,,,1,,,2.302585093,
2021-22,Segou,564009,1,1,1,,,1,,1,1,1,1,,,1,,2.197224577,
2021-22,Segou,564010,1,1,,,,1,1,,2,1,1,,1,1,,2.302585093,
2021-22,Segou,564011,,,,1,,2,,,,2,3,,,1,,2.197224577,
2021-22,Segou,564012,2,,,,1,1,,,2,,,1,1,,,2.079441542,
2021-22,Kayes,57001,,,,,,2,,,2,1,1,,1,,,1.945910149,
2021-22,Kayes,57002,,,,,,1,,,2,1,,,,1,,1.609437912,
2021-22,Kayes,57003,,2,,1,1,,,,,,,,,,,1.386294361,
2021-22,Kayes,57004,,,,,,,1,,,,2,,,,,1.098612289,
2021-22,Kayes,57005,1,,,,1,,,1,2,,,,1,,,1.791759469,
2021-22,Kayes,57006,,,2,,,,1,,,,1,,,1,,1.609437912,
2021-22,Kayes,57007,1,,,1,1,1,,,1,2,,,1,,,2.079441542,
2021-22,Kayes,57008,,1,,1,,1,1,,,1,,1,1,1,,2.079441542,
2021-22,Kayes,57009,,1,1,1,,1,,1,1,,1,,,1,,2.079441542,
2021-22,Kayes,57010,,,1,,1,,,,1,1,1,,,,,1.609437912,
2021-22,Kayes,57011,,1,1,1,,1,1,1,,,,1,,1,,2.079441542,
2021-22,Kayes,57012,,1,1,,1,,1,1,1,,,,1,,,1.945910149,
2021-22,Segou,574001,,,,,1,,,1,,,,,1,,,1.098612289,
2021-22,Segou,574002,,1,1,,1,,,,1,,,,,,,1.386294361,
2021-22,Segou,574003,,,1,,,1,1,,,,1,1,,1,,1.791759469,
2021-22,Segou,574004,,,1,,1,1,1,,,,,,1,,,1.609437912,
2021-22,Segou,574005,1,,,,1,,,,1,1,,,1,,,1.609437912,
2021-22,Segou,574006,1,1,,,2,,1,,,,,1,1,,,1.945910149,
2021-22,Segou,574007,,,1,,,1,,,,,,,,,,0.6931471806,
2021-22,Segou,574008,,,,1,,,1,,,1,,,,1,,1.386294361,
2021-22,Segou,574009,2,,,,,1,,,2,1,,,1,,,1.945910149,
2021-22,Segou,574010,,,,,,,1,,,,,,,,,,
2021-22,Segou,574011,1,1,,,,1,,,,1,,,1,1,,1.791759469,
2021-22,Segou,574012,,,,,,1,,1,1,,1,,,1,,1.609437912,
2021-22,Segou,576001,,,2,,,,1,,,1,,,,,,1.386294361,
2021-22,Segou,576002,,2,1,1,,2,,,,,1,,1,,,2.079441542,
2021-22,Segou,576003,,,1,1,,1,,,,,1,,1,,,1.609437912,
2021-22,Segou,576004,,,1,1,,,3,,,2,,,,1,,2.079441542,
2021-22,Segou,576005,,1,2,,,1,,,,,,1,,1,,1.791759469,
2021-22,Segou,576006,,,1,,1,1,,,,,,1,,1,,1.609437912,
2021-22,Segou,576007,,4,1,1,1,,1,,1,,2,1,1,1,,2.63905733,
2021-22,Segou,576008,,1,1,,,1,,,,1,1,,1,,,1.791759469,
2021-22,Segou,576009,,,,,,,2,,,,,,,,,0.6931471806,
2021-22,Segou,576010,,,1,,,2,,,2,1,1,2,,1,,2.302585093,
2021-22,Segou,576011,1,2,1,,,1,,,,1,1,,,1,,2.079441542,
2021-22,Segou,576012,,,,1,1,1,2,,,,2,3,,1,,2.397895273,
2021-22,Segou,579001,,,1,,,,,,,,,,,1,,0.6931471806,
2021-22,Segou,579002,,,1,,1,,,,2,,1,,1,,,1.791759469,
2021-22,Segou,579003,,1,,1,,1,,1,,1,1,,1,,,1.945910149,
2021-22,Segou,579004,,,,1,,,1,,2,,,,,1,,1.609437912,
2021-22,Segou,579005,,,,1,,,1,,,,,,,1,,1.098612289,
2021-22,Segou,579006,1,2,1,,1,1,,,,1,,1,,,,2.079441542,
2021-22,Segou,579007,,,1,,1,1,,,,,1,,1,,,1.609437912,
2021-22,Segou,579008,1,2,,2,1,1,1,2,1,1,,,2,1,,2.708050201,
2021-22,Segou,579009,,,,,,1,,,1,,1,,,,,1.098612289,
2021-22,Segou,579010,1,,,,1,,1,1,,,1,1,1,1,,2.079441542,
2021-22,Segou,579011,1,,,1,,2,1,,3,1,,1,,1,,2.397895273,
2021-22,Segou,579012,1,2,,,1,,1,1,,,,,1,1,,2.079441542,
2021-22,Segou,582001,,1,,,1,,1,,,1,,,1,,,1.609437912,
2021-22,Segou,582002,,,,,,,1,,,1,,,,1,,1.098612289,
2021-22,Segou,582003,1,,,,1,1,,,,1,2,1,1,,,2.079441542,
2021-22,Segou,582004,1,,,,1,,1,,,,,,1,,,1.386294361,
2021-22,Segou,582005,1,,,,2,,,1,2,,,,1,,,1.945910149,
2021-22,Segou,582006,,2,,,1,1,1,1,1,2,,1,2,,,2.48490665,
2021-22,Segou,582007,,3,4,1,1,,3,1,,,2,1,,1,,2.833213344,
2021-22,Segou,582008,,3,,,1,,1,,1,,,,1,,,1.945910149,
2021-22,Segou,582009,,,,1,,1,,,1,2,,,,1,,1.791759469,
2021-22,Segou,582010,,2,,,1,,2,,,,,,1,1,,1.945910149,
2021-22,Segou,582011,,1,,,,1,,1,1,1,1,,1,,,1.945910149,
2021-22,Segou,582012,,,,,1,1,,,3,,,,1,,,1.791759469,
2021-22,Segou,583001,,1,,1,,2,1,,,1,1,1,1,,,2.197224577,
2021-22,Segou,583002,,,,,,,1,1,2,,,2,,1,,1.945910149,
2021-22,Segou,583003,,,1,,,,1,,,1,,,1,,,1.386294361,
2021-22,Segou,583004,1,,,1,1,1,1,,,,1,,1,2,,2.197224577,
2021-22,Segou,583005,,2,,,1,,,2,,,,1,1,,,1.945910149,
2021-22,Segou,583006,,,,,,,1,,,1,1,,,,,1.098612289,
2021-22,Segou,583007,1,,1,,,1,1,,1,,2,1,,2,,2.302585093,
2021-22,Segou,583008,1,,,,1,1,,1,,,1,1,,1,,1.945910149,
2021-22,Segou,583009,1,2,1,1,3,,1,5,2,1,,2,2,1,,3.091042453,
2021-22,Segou,583010,1,1,2,1,,2,1,,1,,,,1,,,2.302585093,
2021-22,Segou,583011,,2,1,1,,2,,2,1,1,2,1,1,,,2.63905733,
2021-22,Segou,583012,,,,,,,,,,2,1,1,,1,,1.609437912,
2021-22,Segou,585001,1,1,1,,1,,,1,1,1,,,1,,,2.079441542,
2021-22,Segou,585002,,,,,,,,,,,,,,1,,,
2021-22,Segou,585003,1,,,,1,,,1,4,1,,,,1,,2.197224577,
2021-22,Segou,585004,,1,1,,,,1,,,,,,,,,1.098612289,
2021-22,Segou,585005,,,,,,1,,1,1,1,1,1,,1,,1.945910149,
2021-22,Segou,585006,,1,1,,1,,2,,1,1,,2,1,,,2.302585093,
2021-22,Segou,585007,,1,,,,2,,,2,1,,,1,,,1.945910149,
2021-22,Segou,585008,,,1,,,,2,,,,,2,,1,,1.791759469,
2021-22,Segou,585009,,1,1,,1,1,,2,,,,1,,,,1.945910149,
2021-22,Segou,585010,,,,,,1,,,,1,,,,,,0.6931471806,
2021-22,Segou,585011,2,1,1,1,1,2,,1,1,1,1,1,,1,,2.63905733,
2021-22,Segou,585012,1,,,,,1,,1,2,,,,,1,,1.791759469,
2021-22,Segou,586001,,,2,1,1,,1,,1,1,1,1,,1,,2.302585093,
2021-22,Segou,586002,,1,1,,1,,,,2,,,,,,,1.609437912,
2021-22,Segou,586003,,1,1,,,1,,,,2,1,,1,,,1.945910149,
2021-22,Segou,586004,,,2,2,,,,,,1,,,1,,,1.791759469,
2021-22,Segou,586005,1,2,1,,1,,1,,,1,,,1,1,,2.197224577,
2021-22,Segou,586006,1,,,,1,,1,,,,1,1,,1,,1.791759469,
2021-22,Segou,586007,,2,,,,1,,,,1,1,,,1,,1.791759469,
2021-22,Segou,586008,,1,,,1,1,,1,,1,,,,1,,1.791759469,
2021-22,Segou,586009,,1,1,,,1,,,,1,1,,1,1,,1.945910149,
2021-22,Segou,586010,,1,,,1,,,,2,,,,1,,,1.609437912,
2021-22,Segou,586011,,1,1,,,1,,,1,1,,,,1,,1.791759469,
2021-22,Segou,586012,,,,,,,1,,,,,1,,1,,1.098612289,
2021-22,Segou,591001,1,,1,,,1,,,1,1,1,,1,,,1.945910149,
2021-22,Segou,591002,,,1,2,1,1,,,,,,,1,,,1.791759469,
2021-22,Segou,591003,1,1,,,1,,,,1,,,,1,,,1.609437912,
2021-22,Segou,591004,2,1,,,2,,1,,1,,,,1,,,2.079441542,
2021-22,Segou,591005,,,,,2,,3,,,1,,1,,1,,2.079441542,
2021-22,Segou,591006,,,,,,1,1,,1,2,2,2,,1,,2.302585093,
2021-22,Segou,591007,,1,,,,1,,,,,1,,,1,,1.386294361,
2021-22,Segou,591008,,1,,,,1,,,,1,1,2,,1,,1.945910149,
2021-22,Segou,591009,,,1,,2,1,1,,1,1,1,2,1,1,,2.48490665,
2021-22,Segou,591010,,2,1,,1,,,1,,,,,1,,,1.791759469,
2021-22,Segou,591011,,2,1,1,1,,2,2,,,,4,,1,,2.63905733,
2021-22,Segou,591012,,,,,,,,,,,1,,1,,,0.6931471806,
2021-22,Segou,594001,,1,,,,1,,1,1,1,1,,1,,,1.945910149,
2021-22,Segou,594002,2,,,1,1,,1,,1,,,2,,1,,2.197224577,
2021-22,Segou,594003,,1,,1,,1,,1,,,,,1,,,1.609437912,
2021-22,Segou,594004,,1,2,,,1,,1,1,,,,1,,,1.945910149,
2021-22,Segou,594005,,,,1,,1,,,,,1,,1,,,1.386294361,
2021-22,Segou,594006,1,1,1,1,1,,,1,,,,,1,,,1.945910149,
2021-22,Segou,594007,,1,2,1,,1,,,1,,1,,,1,,2.079441542,
2021-22,Segou,594008,1,,,,,1,,,,,,1,,1,,1.386294361,
2021-22,Segou,594009,,,,1,1,,1,1,,,1,1,,1,,1.945910149,
2021-22,Segou,594010,,,,,2,,,4,2,,,1,,,,2.197224577,
2021-22,Segou,594011,,1,,,,,1,,,1,,,,1,,1.386294361,
2021-22,Segou,594012,,2,,1,1,2,,1,,3,1,1,1,,,2.564949357,
2021-22,Segou,595001,1,1,1,,,1,,1,,,,1,1,,,1.945910149,
2021-22,Segou,595002,,,,,,1,,,,2,,,1,,,1.386294361,
2021-22,Segou,595003,,2,2,,1,2,1,,,,,,1,,,2.197224577,
2021-22,Segou,595004,1,,1,2,,2,,,1,2,,2,,1,,2.48490665,
2021-22,Segou,595005,2,1,,1,,1,1,,1,3,,2,1,2,,2.708050201,
2021-22,Segou,595006,,,,,,,,,,,,,1,,,,
2021-22,Segou,595007,,1,,,1,,1,1,1,,,,1,,,1.791759469,
2021-22,Segou,595008,,1,1,1,2,,1,2,1,,,3,1,1,,2.63905733,
2021-22,Segou,595009,,,1,,,1,,,,1,,,,1,,1.386294361,
2021-22,Segou,595010,1,,,,1,,1,,1,1,,1,,,,1.791759469,
2021-22,Segou,595011,1,1,1,1,,1,,,,,1,1,,1,,2.079441542,
2021-22,Segou,595012,1,,,,1,1,,,1,1,,2,,,,1.945910149,
2021-22,Segou,598001,1,,1,,1,,,,1,,,,1,,,1.609437912,
2021-22,Segou,598002,,,1,1,,,1,,,,,,,1,,1.386294361,
2021-22,Segou,598003,,,,1,,,1,,,,1,2,,1,,1.791759469,
2021-22,Segou,598004,,,,,1,,,,1,,,,1,,,1.098612289,
2021-22,Segou,598005,,,,,,1,,,,,1,2,,,,1.386294361,
2021-22,Segou,598006,,1,,1,1,1,,1,,1,,,1,,,1.945910149,
2021-22,Segou,598007,,,1,,,,1,,,,,,,,,0.6931471806,
2021-22,Segou,598008,,,,1,,1,,,,1,1,2,,1,,1.945910149,
2021-22,Segou,598009,,,1,1,1,1,,,,,2,1,,1,,2.079441542,
2021-22,Segou,598010,,,,1,,,2,,,,,,,,,1.098612289,
2021-22,Segou,598011,,,2,,,1,,,2,,,,1,,,1.791759469,
2021-22,Segou,598012,,1,1,1,,1,,,,,1,,1,,,1.791759469,
2021-22,Segou,599001,,,1,1,,1,,,,1,,1,,,,1.609437912,
2021-22,Segou,599002,,,,,1,,,1,1,,,1,,,,1.386294361,
2021-22,Segou,599003,,,,,,1,,,,,,,1,,,0.6931471806,
2021-22,Segou,599004,,,,,1,,,,1,,,,1,,,1.098612289,
2021-22,Segou,599005,,,,2,,1,,,,,,2,,1,,1.791759469,
2021-22,Segou,599006,1,,,,2,,1,,1,,,,1,,,1.791759469,
2021-22,Segou,599007,1,1,,1,,1,,,,1,,,1,,,1.791759469,
2021-22,Segou,599008,,,,,2,1,,,,,,3,,1,,1.945910149,
2021-22,Segou,599009,,1,1,,,2,,,3,2,2,,1,,,2.48490665,
2021-22,Segou,599010,,1,1,,,1,,,,,,,,1,,1.386294361,
2021-22,Segou,599011,,,,,,1,,,,,,,1,,,0.6931471806,
2021-22,Segou,599012,,,,,,1,,,,,,,1,,,0.6931471806,
2021-22,Kayes,60001,1,1,,,1,1,1,1,1,,,,2,1,,2.302585093,
2021-22,Kayes,60002,,,,,,,1,,,,,,1,1,,1.098612289,
2021-22,Kayes,60003,1,1,,,1,,,,,,,1,,,,1.386294361,
2021-22,Kayes,60004,,,1,1,1,,1,1,2,,,1,,1,,2.197224577,
2021-22,Kayes,60005,1,,,,2,,1,1,1,,,,,,,1.791759469,
2021-22,Kayes,60006,,2,,,1,,,1,,1,1,,1,,,1.945910149,
2021-22,Kayes,60007,,,2,,1,,1,1,2,1,,3,2,,,2.564949357,
2021-22,Kayes,60008,,,,,1,,,,1,,,1,,,,1.098612289,
2021-22,Kayes,60009,,,,,,,1,,,,,1,,2,,1.386294361,
2021-22,Kayes,60010,,,,,,,,,,,,,1,,,,
2021-22,Kayes,60011,,,1,1,1,,,1,,1,,,1,,,1.791759469,
2021-22,Kayes,60012,,,,,,1,,,,1,1,,,1,,1.386294361,
2021-22,Segou,604001,,,,,,,1,,,,,,,1,,0.6931471806,
2021-22,Segou,604002,,1,3,,2,,,,3,,,1,1,,,2.397895273,
2021-22,Segou,604003,,2,2,1,,1,,,,,,,,1,,1.945910149,
2021-22,Segou,604004,,2,1,,1,,,1,,,,,1,,,1.791759469,
2021-22,Segou,604005,,2,,,,1,,,,2,,2,,1,,2.079441542,
2021-22,Segou,604006,2,,1,,1,1,,,1,,,,1,,,1.945910149,
2021-22,Segou,604007,,,,,,,1,,,,,,,,,,
2021-22,Segou,604008,1,,,1,,1,,,1,,,,,1,,1.609437912,
2021-22,Segou,604009,,,,,,,1,,,,,,,1,,0.6931471806,
2021-22,Segou,604010,,,1,,1,,1,1,1,1,1,1,1,,,2.197224577,
2021-22,Segou,604011,,,1,,1,,,,1,,,,1,,,1.386294361,
2021-22,Segou,604012,,,,,1,,,,,1,,,1,,,1.098612289,
2021-22,Segou,606001,1,,,1,1,,,,,1,1,,,1,,1.791759469,
2021-22,Segou,606002,,1,1,,,1,,,,1,,1,,1,,1.791759469,
2021-22,Segou,606003,1,,3,,2,1,1,2,,,,2,1,1,,2.63905733,
2021-22,Segou,606004,1,1,,1,,1,,1,1,2,,2,1,,,2.397895273,
2021-22,Segou,606005,2,1,,,1,1,,,,1,,,1,,,1.945910149,
2021-22,Segou,606006,1,1,1,,,1,,,1,1,,,1,,,1.945910149,
2021-22,Segou,606007,,,,,,1,,,,,,,,,,,
2021-22,Segou,606008,,,2,,,1,,,2,,,,1,,,1.791759469,
2021-22,Segou,606009,,,,,1,,,1,2,,,,1,,,1.609437912,
2021-22,Segou,606010,1,1,,1,,3,,1,2,1,2,,,1,,2.564949357,
2021-22,Segou,606011,1,,1,,1,,,,1,,,,1,,,1.609437912,
2021-22,Segou,606012,,1,1,1,,1,,,,,,,,1,,1.609437912,
2021-22,Segou,608001,,,,,1,,,,2,1,,1,,,,1.609437912,
2021-22,Segou,608002,,,,,,,1,,,,,,,1,,0.6931471806,
2021-22,Segou,608003,,1,,,,1,,,,,,,,1,,1.098612289,
2021-22,Segou,608004,,1,1,,,1,1,,,1,,,1,,,1.791759469,
2021-22,Segou,608005,,,,,,1,,,,1,,1,1,,,1.386294361,
2021-22,Segou,608006,,,,,1,,3,,1,,2,,1,1,,2.197224577,
2021-22,Segou,608007,,,,,,,1,,,1,,,,1,,1.098612289,
2021-22,Segou,608008,,,1,,,1,,,1,1,,,,1,,1.609437912,
2021-22,Segou,608009,,,1,,,,1,,1,,,,,,,1.098612289,
2021-22,Segou,608010,,1,,,,1,,2,1,,,,1,,,1.791759469,
2021-22,Segou,608011,,,1,,1,,,,3,,,1,,,,1.791759469,
2021-22,Segou,608012,,,,,,1,,,1,1,,,,,,1.098612289,
2021-22,Kayes,61001,,1,1,,,1,,,2,,,,1,,,1.791759469,
2021-22,Kayes,61002,1,,,,,1,,,2,,,,1,,,1.609437912,
2021-22,Kayes,61003,,2,,,,1,,,,1,1,,1,,,1.791759469,
2021-22,Kayes,61004,,,,,,,1,1,2,,,,,1,,1.609437912,
2021-22,Kayes,61005,,,,,1,,1,,1,,,1,,1,,1.609437912,
2021-22,Kayes,61006,,2,1,,,1,1,,1,1,1,,1,,,2.197224577,
2021-22,Kayes,61007,1,1,,1,1,,,,2,1,,,1,,,2.079441542,
2021-22,Kayes,61008,,1,,1,,1,,1,1,,,,1,,,1.791759469,
2021-22,Kayes,61009,,2,,2,,,1,,,,,,,1,,1.791759469,
2021-22,Kayes,61010,1,4,,,,2,,,1,2,,,1,,,2.397895273,
2021-22,Kayes,61011,,1,,,1,,,1,1,2,,,1,,,1.945910149,
2021-22,Kayes,61012,2,1,,,1,1,,,3,,,,1,,,2.197224577,
2021-22,Segou,610001,,,,1,,,,1,1,,1,1,,1,,1.791759469,
2021-22,Segou,610002,2,2,,,1,,,,1,,,,1,,,1.945910149,
2021-22,Segou,610003,2,1,,,2,,1,,1,1,,1,,1,,2.302585093,
2021-22,Segou,610004,,1,,,,2,,2,1,3,1,,1,,,2.397895273,
2021-22,Segou,610005,,1,2,1,,,1,,,,,,,1,,1.791759469,
2021-22,Segou,610006,,1,1,1,,2,,,1,1,2,,,1,,2.302585093,
2021-22,Segou,610007,3,1,,1,1,1,,1,1,2,,,1,,,2.48490665,
2021-22,Segou,610008,2,3,3,1,,3,,2,2,1,,1,2,,,2.995732274,
2021-22,Segou,610009,,,1,,,1,,2,,1,1,1,,,,1.945910149,
2021-22,Segou,610010,3,1,2,1,2,1,,1,2,,2,3,,1,,2.944438979,
2021-22,Segou,610011,1,,,,2,,1,1,,,,2,,,,1.945910149,
2021-22,Segou,610012,1,,,,1,,1,,,,1,,,1,,1.609437912,
2021-22,Segou,613001,,1,1,,1,1,,,2,1,,,1,,,2.079441542,
2021-22,Segou,613002,,1,2,,1,,,,,,,1,1,,,1.791759469,
2021-22,Segou,613003,,1,,,,1,,,1,1,,,1,,,1.609437912,
2021-22,Segou,613004,,,1,,,,1,,,,,1,,1,,1.386294361,
2021-22,Segou,613005,1,,,,1,,1,,,,,,1,1,,1.609437912,
2021-22,Segou,613006,1,,1,,,1,,,,1,,,1,,,1.609437912,
2021-22,Segou,613007,,,,,,,1,,,,,,,,,,
2021-22,Segou,613008,,,,,1,1,,1,,,,1,,,,1.386294361,
2021-22,Segou,613009,,1,,,,1,,,2,2,,,1,,,1.945910149,
2021-22,Segou,613010,,,,1,,1,,,1,,,,1,,,1.386294361,
2021-22,Segou,613011,,1,1,,1,1,,1,1,1,,,,1,,2.079441542,
2021-22,Segou,613012,,,1,1,1,1,,1,,,,,1,,,1.791759469,
2021-22,Mopti,615001,,,1,,,1,1,,4,,1,,,1,,2.197224577,
2021-22,Mopti,615002,2,,,2,1,,,,1,,,,1,,,1.945910149,
2021-22,Mopti,615003,1,,1,,,,2,,2,,,,,,,1.791759469,
2021-22,Mopti,615004,1,1,,,2,1,1,1,2,1,,,,1,,2.397895273,
2021-22,Mopti,615005,,,,1,,,2,,,1,,,,1,,1.609437912,
2021-22,Mopti,615006,,,,,,,1,,,,,1,,1,,1.098612289,
2021-22,Mopti,615007,,1,2,,,,1,1,,,,,,1,,1.791759469,
2021-22,Mopti,615008,,,1,,,1,1,,,1,,,,1,,1.609437912,
2021-22,Mopti,615009,,,,1,,1,,,,,1,,,1,,1.386294361,
2021-22,Mopti,615010,,,,,1,,,,1,1,1,,,1,,1.609437912,
2021-22,Mopti,615011,,2,,2,1,1,1,4,2,1,,,1,,,2.708050201,
2021-22,Mopti,615012,,,,1,,1,,,,,,,,1,,1.098612289,
2021-22,Mopti,616001,,1,1,2,,1,,,1,,,,,1,,1.945910149,
2021-22,Mopti,616002,,,1,,1,,,,,,,,1,,,1.098612289,
2021-22,Mopti,616003,,1,,1,1,,1,1,,1,,,,,,1.791759469,
2021-22,Mopti,616004,,1,,1,,1,,1,,,1,1,,1,,1.945910149,
2021-22,Mopti,616005,,2,,2,1,1,,2,1,,,,,1,,2.302585093,
2021-22,Mopti,616006,1,,,,,1,,,1,1,,,1,,,1.609437912,
2021-22,Mopti,616007,,2,,1,,2,,,,2,1,,,1,,2.197224577,
2021-22,Mopti,616008,1,1,,,,3,,,,,,,1,1,,1.945910149,
2021-22,Mopti,616009,,,,,1,,1,,,,1,1,,,,1.386294361,
2021-22,Mopti,616010,,,,,1,,,1,1,,,,1,,,1.386294361,
2021-22,Mopti,616011,1,,,,1,,,,2,,,,1,,,1.609437912,
2021-22,Mopti,616012,1,,,,1,1,,1,2,1,,,2,,,2.197224577,
2021-22,Mopti,617001,1,1,,,,1,,,1,1,1,,,,,1.791759469,
2021-22,Mopti,617002,,2,1,1,,1,,,,,,,1,,,1.791759469,
2021-22,Mopti,617003,,,,,,,1,,2,1,1,,,,,1.609437912,
2021-22,Mopti,617004,,,,1,,1,,,,,,,,,,0.6931471806,
2021-22,Mopti,617005,,1,1,,1,,1,2,,,,2,,,,2.079441542,
2021-22,Mopti,617006,1,,1,,,1,,,2,2,,,1,,,2.079441542,
2021-22,Mopti,617007,1,1,2,,1,,,,1,,,,1,,,1.945910149,
2021-22,Mopti,617008,,,,,,,1,,,,,1,,1,,1.098612289,
2021-22,Mopti,617009,,1,,,1,,,1,1,,,,1,,,1.609437912,
2021-22,Mopti,617010,,,,,1,,1,,,,1,2,,1,,1.791759469,
2021-22,Mopti,617011,1,1,1,,,1,,1,,,1,,1,,,1.945910149,
2021-22,Mopti,617012,,1,,,1,,,,,,,1,,,,1.098612289,
2021-22,Mopti,621001,,,,1,1,1,,,,,,1,,1,,1.609437912,
2021-22,Mopti,621002,,,,1,,,1,,,,,,,,,0.6931471806,
2021-22,Mopti,621003,1,1,1,1,,1,,1,1,1,1,1,,,,2.302585093,
2021-22,Mopti,621004,,,,,1,,1,1,,,,,,,,1.098612289,
2021-22,Mopti,621005,,,1,,,1,,,,1,,,,,,1.098612289,
2021-22,Mopti,621006,,,,,1,,,2,,,,1,,,,1.386294361,
2021-22,Mopti,621007,,,1,1,,2,,,,1,1,,1,,,1.945910149,
2021-22,Mopti,621008,,,2,,1,,,1,1,,,,1,,,1.791759469,
2021-22,Mopti,621009,,,,,1,,,,,,,1,,1,,1.098612289,
2021-22,Mopti,621010,,1,1,,,1,,,,1,,,1,,,1.609437912,
2021-22,Mopti,621011,,2,2,,,1,,,,,,1,,,,1.791759469,
2021-22,Mopti,621012,1,4,2,1,2,2,1,4,2,2,2,3,2,1,,3.36729583,
2021-22,Mopti,624001,1,,,,,1,,,2,1,,,1,,,1.791759469,
2021-22,Mopti,624002,,,,,1,,,1,1,,,,,,,1.098612289,
2021-22,Mopti,624003,2,,,,1,,,,2,,,,1,,,1.791759469,
2021-22,Mopti,624004,,,,1,,1,,1,,1,,,,1,,1.609437912,
2021-22,Mopti,624005,1,1,,,,1,,,1,1,1,,,1,,1.945910149,
2021-22,Mopti,624006,,,,,1,,,2,,,,1,,,,1.386294361,
2021-22,Mopti,624007,1,1,2,,1,2,,1,2,3,1,,1,,,2.708050201,
2021-22,Mopti,624008,,1,,,,1,,,1,1,2,1,1,,,2.079441542,
2021-22,Mopti,624009,,,,,1,,,,,,,,,,,,
2021-22,Mopti,624010,,,,,1,,,1,1,,,,1,,,1.386294361,
2021-22,Mopti,624011,,1,,,1,,,1,1,,,,1,,,1.609437912,
2021-22,Mopti,624012,,,,,,,1,,1,,,,,,,0.6931471806,
2021-22,Mopti,630001,,,,,1,1,1,,,1,2,3,,1,,2.302585093,
2021-22,Mopti,630002,1,,1,1,,1,,1,1,1,,,1,,,2.079441542,
2021-22,Mopti,630003,,1,,,1,,,2,,1,,,1,,,1.791759469,
2021-22,Mopti,630004,1,,,,,1,,,2,,1,,1,,,1.791759469,
2021-22,Mopti,630005,,,1,,,1,1,,,1,,1,,1,,1.791759469,
2021-22,Mopti,630006,,,,,,2,1,,,2,2,1,,1,,2.197224577,
2021-22,Mopti,630007,2,1,,,2,,1,,1,1,,1,2,,,2.397895273,
2021-22,Mopti,630008,,1,,,,1,,,,1,,,,1,,1.386294361,
