t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,M NA,log HSize,F NA
2017-18,Bamako,1013008,,1,,,1,2,,,,,,1,3,1,,2.197224577,
2017-18,Bamako,1013009,1,1,,2,,1,,,,,,1,,1,,1.945910149,
2017-18,Bamako,1014001,,,,,1,,1,,,,,,,1,,1.098612289,
2017-18,Bamako,1014002,,,1,,,1,,,,1,2,,,1,,1.791759469,
2017-18,Bamako,1014003,1,1,2,1,1,2,,,,2,2,1,2,1,,2.772588722,
2017-18,Bamako,1014004,,,1,2,,1,,2,1,1,,,1,,,2.197224577,
2017-18,Bamako,1014005,,1,,1,,2,,1,1,,,,1,,,1.945910149,
2017-18,Bamako,1014006,1,1,,,,1,1,,,1,,,1,,,1.791759469,
2017-18,Bamako,1014007,,1,2,1,,3,1,,,1,1,,1,,,2.397895273,
2017-18,Bamako,1014008,,,,1,1,,1,1,,,,,1,,,1.609437912,
2017-18,Bamako,1014009,2,,,,1,,,,,,,,1,,,1.386294361,
2017-18,Bamako,1015001,,,,2,1,1,,,1,,2,,,1,,2.079441542,
2017-18,Bamako,1015002,,,,,1,,2,,,,,,,,,1.098612289,
2017-18,Bamako,1015003,,,,1,1,,,,1,,,1,,3,,1.945910149,
2017-18,Bamako,1015004,,,1,1,,1,,,,1,,,,1,,1.609437912,
2017-18,Bamako,1015005,1,,,,2,,2,1,,,,1,,1,,2.079441542,
2017-18,Bamako,1015006,,1,1,1,1,,,1,,,,,1,,,1.791759469,
2017-18,Bamako,1015007,1,,,,1,,,,,,,1,,,,1.098612289,
2017-18,Bamako,1015008,,1,,,,1,,,,,,,1,,,1.098612289,
2017-18,Bamako,1015009,,1,,,1,1,,2,,,,,1,,,1.791759469,
2017-18,Bamako,1016001,,1,1,1,1,1,,1,,,1,,3,,,2.302585093,
2017-18,Bamako,1016002,,,,,,1,1,,,,,,,1,,1.098612289,
2017-18,Bamako,1016003,,,,2,,3,2,1,1,1,,1,,2,,2.564949357,
2017-18,Bamako,1016004,,,,2,,,1,,,1,,,,1,,1.609437912,
2017-18,Bamako,1016005,,1,1,,,1,,,,,3,,1,1,,2.079441542,
2017-18,Bamako,1016006,,,,,,,,,,,,,,1,,,
2017-18,Bamako,1016007,,,1,,1,,3,2,,,,1,1,,,2.197224577,
2017-18,Bamako,1016008,,,,,,,,,,,1,2,1,,,1.386294361,
2017-18,Bamako,1016009,,1,,,1,,,1,,,,1,,,,1.386294361,
2017-18,Bamako,1017001,3,2,2,2,4,1,2,,3,,1,2,3,1,,3.258096538,
2017-18,Bamako,1017002,,,,1,1,1,1,1,1,1,,3,1,,,2.397895273,
2017-18,Bamako,1017003,1,1,3,,2,3,,2,2,,1,,4,,,2.944438979,
2017-18,Bamako,1017004,2,1,2,,1,1,,1,1,1,,,2,,,2.48490665,
2017-18,Bamako,1017005,,,,,2,,1,1,,,,1,2,1,,2.079441542,
2017-18,Bamako,1017006,,1,,1,1,,1,2,1,,,1,1,,,2.197224577,
2017-18,Bamako,1017007,2,1,1,2,3,,1,2,,,1,,2,,,2.708050201,
